username,userid,profile_location,created_at,text,retweet_count,source
거래 계정,1185600431273082880,코로나 연기 취소시 모든공연 티켓원가만 환불가능,2019-10-19 16:55:49,"뮤지컬 광화문연가 양도
→코로나등 취소의경우 티켓원금만 환불
→계정이동 예매내역서
7/17 2회
C블 8~9열 +2",0,Twitter for Android
솔링_,4718630192,,2016-01-06 13:14:05,"RT @OWL_inee: 훈련소 꿀팁(?) 알려드림 
코로나 이후로 훈련소 중간까지만 같이 들어가고 그 뒤에는 입대하는 사람 혼자 들어가는데 
그 혼자 가는 구간을 펜션에서 찍어서.... 올려주시는 펜션 주인장분이 계심 

https://t.co/r…",791,Twitter for iPhone
🍓흐시🍓,224061140,,2010-12-08 01:51:21,"RT @vilnim: ""코로나 감염되면 선수 책임"" 도쿄올림픽 동의서 논란 | 다음 뉴스 https://t.co/VgET5wLKr9

와... 미친 갔다가 확진되어서 선수생명 끝나도 IOC나 일본은 절대 책임 안 지겠다는 거잖아...보이콧이 답임",1804,Twitter for Android
중년의 취향,207361936,corea,2010-10-25 04:28:03,페루 코로나 사망자 7만→18만명 정정…인구 대비 세계 최다 https://t.co/Rcc1MAIlbx,0,Twitter Web App
Thㅓㄴ녀,231772898,,2010-12-29 12:29:45,"RT @yarlyshirley: 코로나 집단감염이 있었는데도 회식하고, 강제참여시키고, 성추행에 은폐 따돌림으로 사람 죽인 공군 20 전투 비행단. 가해자 얼굴 신상 공개하고 책임자들 전부 직위해제 시켜라 https://t.co/yv52UWAezS",1005,Twitter for Android
거래 계정,1185600431273082880,코로나 연기 취소시 모든공연 티켓원가만 환불가능,2019-10-19 16:55:49,"뮤지컬 마리 앙투아네트 이창섭 회차 양도
→코로나등 취소의경우 티켓원금만 환불
→아이디이동
7/21 밤공
1층 A구역 4-6열 사이석 +3",0,Twitter for Android
거래 계정,1185600431273082880,코로나 연기 취소시 모든공연 티켓원가만 환불가능,2019-10-19 16:55:49,"뮤지컬 마리 앙투아네트 도영 첫공 양도
→코로나등 취소의경우 티켓원금만 환불
→예매내역서
7/17 낮공
1층 C구역 5-7열 사이석 -&gt; 티켓비 포함 30
2층 B구역 5-7열 사이석 -&gt; 티켓비 포함 20",0,Twitter for Android
자유의 화신,709629892174815232,,2016-03-15 06:38:45,RT @james_bond_ny: 우리 인간적으로 고일석 기자의 제안대로 합시다. 지금까지 코로나 방역 방해와 백신 접종 불신 일조하는데 힘을 쏟았던 국힘과 지지세력 그리고 조중동을 비롯한 기레기들은 백신접종 포기각서를 작성하고 정상적인 국민에게 양…,36,Twitter Web App
song,385461666,서울,2011-10-05 15:00:20,"RT @New_paradigm: MBC 100분 토론, 국힘당 당대표 후보들 토론, 꼬마 병정들 보는 느낌이다. 문재인 정부의 오만과 독선에 얼마나 힘들었냐며 정권교체가 필수란다. 나는 좋기만 하구만. 코로나 방역 잘했다는 부분에 대해서 5명 어느…",58,Twitter for Android
티켓,1185596033868259330,코로나 영향으로 취소연기시 대리비 환불 불가능,2019-10-19 16:38:21,"뮤지컬 시카고 양도
∨7.4 1회
B구역 4열 +2
∨7.11 1회
B구역 5열 +1.5
∨7.11 2회
B구역 6열 +1.5
∨7.15 1회
B구역 B열 +3

(코로나 취소시 티켓비만 환불)
예매내역서",0,Twitter for Android
무경,947410351531814912,,2017-12-31 10:13:24,"RT @yarlyshirley: 코로나 집단감염이 있었는데도 회식하고, 강제참여시키고, 성추행에 은폐 따돌림으로 사람 죽인 공군 20 전투 비행단. 가해자 얼굴 신상 공개하고 책임자들 전부 직위해제 시켜라 https://t.co/yv52UWAezS",1005,Twitter for iPhone
시도레미,744527694075826177,.,2016-06-19 13:50:09,"RT @yarlyshirley: 코로나 집단감염이 있었는데도 회식하고, 강제참여시키고, 성추행에 은폐 따돌림으로 사람 죽인 공군 20 전투 비행단. 가해자 얼굴 신상 공개하고 책임자들 전부 직위해제 시켜라 https://t.co/yv52UWAezS",1005,Twitter for Android
상큼한아침,186487217,,2010-09-03 16:01:01,"RT @Terminator261: 송영길 ""코로나 5천만 방역 무리수..과잉·비효율 지적""

송영길을 당댚으로 뽑은건 최악의 무리수며, 헛지랄이며, 등신같은 짓이었다!",11,Twitter for iPhone
suu,225111448,,2010-12-10 18:25:04,"RT @yarlyshirley: 코로나 집단감염이 있었는데도 회식하고, 강제참여시키고, 성추행에 은폐 따돌림으로 사람 죽인 공군 20 전투 비행단. 가해자 얼굴 신상 공개하고 책임자들 전부 직위해제 시켜라 https://t.co/yv52UWAezS",1005,Twitter for iPhone
냥,3162385440,,2015-04-18 12:36:41,"RT @younha2002: 정부가 코로나 방역 잘한다고 '지랄'하는 여당 대표라니😩
#송영길사퇴해",278,Twitter for Android
양도계,1185593590631677952,코로나로 인한 취소시 수고비 환불불가합니다,2019-10-19 16:28:39,"뷰티풀민트라이프 뷰민라 2021 양도합니다

6/27 일요일 1회차
201구역 7~8열 +4

코로나 취소시 우측금은 환불불가
디엠주세요",0,Twitter for Android
