username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at
MBCNEWS,/user/MBCnews,[투데이 연예톡톡] '이태원 클럽발' 코로나19가 또 발목 (2020.05.14/뉴스투데이/MBC),690,690 views,/watch?v=OAqjYJN4_RU,,2021-04-17 13:28:09.324981
MNC ASIA,/channel/UCGQpRwc10any5L1n4VlhcCQ,이태원 클럽발 코로나 사태. 전문가를 찾아갔습니다 | MNC ASIA,25,25 views,/watch?v=gHMH60MP8UU,,2021-04-17 13:28:09.326188
케이블CMB,/channel/UCli8R56d2rucoSRqzwT6x-g,[대구뉴스] 대구서도 이태원 클럽발 코로나19 확진자 발생,12,12 views,/watch?v=uyKnc5M91R4,,2021-04-17 13:28:09.327371
YTN news,/user/ytnnews24,이태원 클럽 방문 뒤 '거짓말'...인천 학원강사 실형 선고 / YTN,6.6K,6.6K views,/watch?v=KSJIq6bUzbE,,2021-04-17 13:28:09.328801
머니투데이대학경제,/channel/UCgHyNGusQcNEOle1__PpDkw,아유 게이? 이태원 클럽발 코로나19로 성소수자 혐오 확산,1K,1K views,/watch?v=CJ2frGq44_U,,2021-04-17 13:28:09.330130
YTN news,/user/ytnnews24,[시청자브리핑 시시콜콜] '이태원발' 코로나? 지역혐오는 NO! / YTN,732,732 views,/watch?v=u5Rk_yG5UA0,,2021-04-17 13:28:09.331442
MBCNEWS,/user/MBCnews,"이태원 최대 클럽서도 확진…""추가 확산 우려"" (2020.05.13/뉴스투데이/MBC)",2.5K,2.5K views,/watch?v=Z8yy7MOU8t0,,2021-04-17 13:28:09.332809
디에세이 컨설팅,/channel/UCarm7HHnRLfaVUvBNQsBBfg,"디에세이 라이브: 이태원 클럽 코로나 사건, 벌금기록과 공무원 면접 불이익, 시험연기와 몰입",319,319 views,/watch?v=5_42ulAp45c,,2021-04-17 13:28:15.855014
CTS뉴스,/channel/UClI42JfLL2VyuW-Xhgsawww,이태원 클럽발 코로나19 확산.. 6차 전파까지 번져 l CTS뉴스,26,26 views,/watch?v=u8d1DH0UcWU,,2021-04-17 13:28:15.856185
KBS News,/user/NewsKBS,"[코로나19-서울] 신규 확진자 3명, 모두 이태원 클럽 관련 / KBS뉴스(News)",1.6K,1.6K views,/watch?v=DVZ0QejVKG4,,2021-04-17 13:28:15.857314
CNN21방송,/channel/UChHsfB11EzDOq2TJJoTrqbw,"CNN21. 신천지 이후 이태원클럽 코로나 무더기 확산, 등교연기 판단 시사대담",43,43 views,/watch?v=XBGJmAYvc2U,,2021-04-17 13:28:15.858233
YTN news,/user/ytnnews24,"용인 확진자, 이태원 클럽·주점 방문...유흥시설 다시 '방역 비상' / YTN",24K,24K views,/watch?v=nv0VqnSCI9I,,2021-04-17 13:28:15.859461
KTV국민방송,/user/chKTV520,이태원 클럽 관련 오전 9시 기준 27명 - 코로나19 발생현황 중앙방역대책본부 정례브리핑 5/9(토),14K,14K views,/watch?v=jY1aWmenwRY,,2021-04-17 13:28:15.860537
MBCNEWS,/user/MBCnews,코로나19 신규 확진 13명...클럽발 확산 진정세 (2020.05.17/12MBC뉴스),5.4K,5.4K views,/watch?v=NfUgpBEZMPc,,2021-04-17 13:28:15.861669
YTN news,/user/ytnnews24,"이태원 클럽 발 코로나19, 대구·경북 확산...2명 확진 / YTN",2.6K,2.6K views,/watch?v=7Eq-N4LOuWU,,2021-04-17 13:28:15.863026
연합뉴스 Yonhapnews,/channel/UCj3_t5p4L4aFsvdW3uHjnnw,'클럽발 코로나' 닷새 만에 90명 감염…군 장병만 8명 확진 / 연합뉴스 (Yonhapnews),26K,26K views,/watch?v=REiP2URWIdU,,2021-04-17 13:28:22.558313
연합뉴스TV,/channel/UCTHCOPwqNfZ0uiKOvFyhGwg,이태원 클럽발 코로나19 바이러스는 '유럽형' / 연합뉴스TV (YonhapnewsTV),505,505 views,/watch?v=uobiphUS92Q,,2021-04-17 13:28:22.559701
